帳號,打卡別,IP,時間
123456,signin,192.168.1.101,2024-01-05 19:00:12
M610111013,signin,192.168.1.101,2024-01-05 19:02:13
M610111013,signout,192.168.1.101,2024-01-05 19:02:25
M610111013,簽到,192.168.1.101,2024-01-05 19:05:44
M610111013,簽到,192.168.1.101,2024-01-05 19:11:13
M610111013,簽退,192.168.50.15,2024-01-05 21:23:08
M610111013,簽到,192.168.50.15,2024-01-05 21:34:10
M610111013,簽到,192.168.50.15,2024-01-05 22:22:45
M610111013,簽退,192.168.50.15,2024-01-05 22:27:18
M610111013,簽退,192.168.50.15,2024-01-05 22:34:31
M610111013,簽到,192.168.50.15,2024-01-05 22:34:31
M610111013,signin,192.168.50.15,2024-01-05 22:34:31
M610111013,signout,192.168.50.15,2024-01-05 22:34:31
M610111013,簽到,192.168.50.15,2024-01-05 22:46:54
M610111013,簽到,192.168.50.15,2024-01-05 22:46:54
123456,簽到,192.168.50.15,2024-01-05 22:51:05
M610111013,簽到,192.168.50.15,2024-01-05 23:01:17
M610111013,簽到,192.168.50.15,2024-01-05 23:01:17
M610111013,簽到,192.168.50.15,2024-01-05 23:04:09
M610111013,簽到,192.168.50.15,2024-01-05 23:06:43
M610111013,簽到,192.168.50.15,2024-01-05 23:06:43
M610111013,簽到,192.168.50.15,2024-01-05 23:06:43
M610111013,簽到,192.168.50.15,2024-01-05 23:09:54
M610111013,簽到,192.168.50.15,2024-01-05 23:09:54
M610111013,簽到,192.168.50.15,2024-01-05 23:16:18
M610111013,簽到,192.168.50.15,2024-01-05 23:26:06
M610111013,簽到,192.168.50.15,2024-01-05 23:26:06
